filename,x1,y1,x2,y2
13418.png,827,319,1177,669
13771.png,465,249,815,599
13163.png,215,216,565,566
14641.png,511,309,861,659
13007.png,474,181,824,531
11655.png,433,334,783,684
13671.png,271,318,621,668
13761.png,528,218,878,568
11514.png,548,35,898,385
14197.png,449,223,799,573
14163.png,463,299,813,649
11818.png,734,155,1084,505
14554.png,558,151,908,501
13426.png,669,412,1019,762
13496.png,237,88,587,438
11492.png,147,93,497,443
13919.png,496,275,846,625
12982.png,479,203,829,553
13441.png,515,259,865,609
11614.png,430,12,780,362
13707.png,484,372,834,722
13927.png,541,444,891,794
13686.png,471,139,821,489
14785.png,557,388,907,738
13216.png,571,359,921,709
14469.png,372,140,722,490
11946.png,367,371,717,721
13399.png,798,158,1148,508
13561.png,311,366,661,716
13021.png,468,420,818,770
14098.png,511,318,861,668
14300.png,674,261,1024,611
13842.png,380,257,730,607
13580.png,296,256,646,606
14167.png,515,268,865,618
14543.png,537,132,887,482
13553.png,290,378,640,728
13688.png,508,142,858,492
13560.png,305,368,655,718
14705.png,429,335,779,685
14435.png,611,156,961,506
14152.png,493,301,843,651
14140.png,509,329,859,679
13115.png,426,105,776,455
14137.png,509,313,859,663
13269.png,544,38,894,388
11841.png,579,248,929,598
14437.png,620,206,970,556
13825.png,462,240,812,590
13642.png,369,316,719,666
14202.png,474,227,824,577
14352.png,156,240,506,590
14299.png,694,266,1044,616
11467.png,280,315,630,665
13056.png,556,221,906,571
14238.png,493,163,843,513
13409.png,828,192,1178,542
14529.png,445,15,795,365
13679.png,218,240,568,590
13849.png,427,232,777,582
14241.png,525,133,875,483
14462.png,335,230,685,580
14680.png,343,225,693,575
11621.png,303,282,653,632
14511.png,489,116,839,466
14242.png,528,134,878,484
13295.png,406,171,756,521
11887.png,397,367,747,717
13975.png,529,257,879,607
13951.png,276,244,626,594
13401.png,809,150,1159,500
11947.png,368,368,718,718
11499.png,230,108,580,458
14521.png,447,32,797,382
11979.png,369,370,719,720
13047.png,414,346,764,696
11590.png,630,211,980,561
14765.png,536,360,886,710
14378.png,203,174,553,524
13018.png,474,351,824,701
11541.png,487,303,837,653
11823.png,623,165,973,515
11746.png,576,438,926,788
14468.png,374,167,724,517
13381.png,690,250,1040,600
11697.png,499,305,849,655
11551.png,438,326,788,676
14351.png,143,238,493,588
13188.png,452,248,802,598
14039.png,765,183,1115,533
14322.png,568,260,918,610
13727.png,434,73,784,423
13508.png,394,195,744,545
12009.png,368,366,718,716
14783.png,591,367,941,717
13499.png,289,125,639,475
14386.png,177,215,527,565
14669.png,211,237,561,587
11811.png,688,186,1038,536
13614.png,272,321,622,671
14604.png,194,359,544,709
11977.png,373,370,723,720
13593.png,251,334,601,684
11899.png,396,372,746,722
13695.png,506,273,856,623
13731.png,453,254,803,604
14316.png,610,257,960,607
13002.png,509,263,859,613
13705.png,492,398,842,748
14067.png,661,210,1011,560
11609.png,540,183,890,533
13419.png,826,343,1176,693
13114.png,446,86,796,436
11780.png,520,391,870,741
14045.png,798,298,1148,648
13491.png,320,88,670,438
13100.png,534,87,884,437
13179.png,467,249,817,599
14283.png,681,265,1031,615
13921.png,485,257,835,607
13626.png,303,321,653,671
14472.png,385,141,735,491
14006.png,517,262,867,612
14773.png,561,338,911,688
13149.png,227,204,577,554
14003.png,481,151,831,501
14385.png,184,227,534,577
14616.png,267,160,617,510
14550.png,612,182,962,532
14393.png,244,219,594,569
14233.png,447,218,797,568
14281.png,675,264,1025,614
13237.png,535,285,885,635
14209.png,464,263,814,613
11813.png,730,170,1080,520
11462.png,328,304,678,654
